headline_main,pub_date,lead_paragraph,Compound_Score
Treasury Dept. blacklists crypto platform used in money laundering.,2022-08-08T18:32:38+0000,,0.2023
What Is ‘the Merge’?,2022-08-26T09:00:17+0000,,0.0
The Hot New Market in Crypto? Trading FTX’s Carcass.,2023-12-20T10:03:17+0000,,0.0
The Power Vacuum at the Top of the Crypto Industry,2023-12-11T10:01:50+0000,,0.2023
Who Would Give This Guy Millions to Build His Own Utopia?,2023-12-12T17:13:10+0000,,0.0
Binance Founder Ordered to Remain in U.S. Before Sentencing,2023-12-08T05:14:53+0000,,-0.1531
Bitcoin Soars on Hopes of Investment Fund Approval,2023-12-05T14:23:58+0000,,0.7096
"Cryptocurrency Prices Surge, Driven by a Potential Bitcoin Fund",2023-11-16T15:12:41+0000,,0.0
U.S. Case Details Binance’s Knowledge About Criminal Users,2023-11-22T19:39:31+0000,,-0.5267
Justice Department Announces Binance’s Guilty Plea,2023-11-22T01:21:57+0000,,0.1531
Binance Founder Pleads Guilty to Violating Money Laundering Rules,2023-11-21T18:28:37+0000,,-0.743
Michael Lewis Tells His Own Story of Sam Bankman-Fried,2023-11-17T14:24:39+0000,,0.0
"For an N.B.A. Star, a Dream House Became a Nightmare",2023-11-15T21:50:47+0000,,0.25
Sam Bankman-Fried’s Wild Rise and Abrupt Crash,2023-11-03T00:21:01+0000,,-0.4019
"Sam Bankman-Fried Was a Grown Up Criminal, Not an Impulsive Man-Child",2023-11-03T07:00:14+0000,,-0.5267
Sam Bankman-Fried Is Found Guilty of 7 Counts of Fraud and Conspiracy,2023-11-02T23:58:21+0000,,-0.875
Reading List: Scams and Scammers,2023-11-08T17:59:02+0000,,-0.5859
Sam Bankman-Fried and the People Who Gave Up Their Money for Nothing,2023-11-08T10:02:33+0000,,0.0
Is Crypto Financing Terrorism?,2023-10-28T12:00:02+0000,,-0.6808
"Guilty on All Counts, Bankman-Fried Completes a Fall From Grace",2023-11-03T12:11:32+0000,,0.0
Silicon Valley Shrugs Off Sam Bankman-Fried’s Trial,2023-11-03T00:23:30+0000,,0.0
Jury Begins Deliberations for a Verdict in Sam Bankman-Fried’s Trial,2023-11-02T19:16:13+0000,,0.1531
Sam Bankman-Fried’s Trial Nears Finish as Closing Arguments Are Made,2023-11-01T17:19:25+0000,,-0.4019
"Sam Bankman-Fried Denies Knowing FTX Money Was Missing, as He Concludes Testimony",2023-10-31T17:18:35+0000,,-0.6124
Bankman-Fried’s Risky Defense Strategy Faces Another Big Test,2023-10-31T11:37:44+0000,,-0.0772
Crypto Influencers and ‘Degenerates’ Flock to Sam Bankman-Fried’s Trial,2023-10-20T09:03:43+0000,,0.0
Prosecutors Turn Sam Bankman-Fried’s Own Words Against Him,2023-10-30T18:11:37+0000,,0.0
New York Attorney General Sues Crypto Firms in $1 Billion Fraud Case,2023-10-19T11:00:44+0000,,-0.5859
Sam Bankman-Fried Testifies That He Made ‘Larger Mistakes’ at FTX,2023-10-27T17:44:32+0000,,0.0
The Shearing of Sam Bankman-Fried,2023-10-27T17:33:34+0000,,0.0
Sam Bankman-Fried’s Testimony Is Delayed at Fraud Trial,2023-10-26T15:16:38+0000,,-0.6908
Close Confidants of Sam Bankman-Fried Have Testified at His Trial,2023-10-26T15:21:07+0000,,0.0
The Challenges Facing Sam Bankman-Fried’s Lawyers,2023-10-25T16:46:37+0000,,0.0772
Sam Bankman-Fried Set to Testify at His Fraud Trial,2023-10-25T14:40:43+0000,,-0.5859
